id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13345811,JH124550,2024-01-22T01:00:00.000,077XX S YATES BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,0421,004,7,43,06,2024,2024-01-30T15:41:33.000,1193543,1854084,41.7545556,-87.566286899,"{'latitude': '41.7545556', 'longitude': '-87.566286899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,246,37,24,19,225,5
13345035,JH124123,2024-01-22T01:00:00.000,109XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,0513,005,9,49,14,2024,2024-01-30T15:41:33.000,1181183,1832574,41.695823004,-87.612242314,"{'latitude': '41.695823004', 'longitude': '-87.612242314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,237,43,19,10,260,11
13345357,JH123440,2024-01-22T00:58:00.000,046XX N WINTHROP AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1914,019,46,3,04B,2024,2024-01-30T15:41:33.000,1168164,1931012,41.966235788,-87.657072182,"{'latitude': '41.966235788', 'longitude': '-87.657072182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,241,39,15,5,4,46
13344498,JH123444,2024-01-22T00:47:00.000,052XX W HENDERSON ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1634,016,31,15,08A,2024,2024-01-30T15:41:33.000,1140846,1921771,41.941425369,-87.757744739,"{'latitude': '41.941425369', 'longitude': '-87.757744739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22618,15,361,17,21,12,26,31
13344445,JH123427,2024-01-22T00:46:00.000,040XX W WABANSIA AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2534,025,26,23,04A,2024,2024-01-30T15:41:33.000,1149028,1910990,41.911686639,-87.727952092,"{'latitude': '41.911686639', 'longitude': '-87.727952092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,24,285,49,2,6,194,26
13344474,JH123437,2024-01-22T00:45:00.000,070XX S MERRILL AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,0331,003,5,43,04B,2024,2024-01-30T15:41:33.000,1191765,1858585,41.766950022,-87.57265675,"{'latitude': '41.766950022', 'longitude': '-87.57265675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,152,33,24,18,262,3
13346506,JH123434,2024-01-22T00:43:00.000,116XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,GAS STATION,False,False,0532,005,9,53,08A,2024,2024-01-30T15:41:33.000,1178927,1827640,41.682334926,-87.620651734,"{'latitude': '41.682334926', 'longitude': '-87.620651734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,50,229,43,19,10,219,11
13344494,JH123421,2024-01-22T00:40:00.000,040XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1624,016,38,15,08B,2024,2024-01-30T15:41:33.000,1136963,1926193,41.953630446,-87.771910073,"{'latitude': '41.953630446', 'longitude': '-87.771910073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,26,19,52,12,15,38
13344708,JH123677,2024-01-22T00:30:00.000,078XX S ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,False,False,0611,006,17,71,05,2024,2024-01-30T15:41:33.000,1167038,1852633,41.751181266,-87.663460692,"{'latitude': '41.751181266', 'longitude': '-87.663460692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,573,31,59,20,231,17
13344479,JH123419,2024-01-22T00:30:00.000,0000X S PULASKI RD,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,1115,011,28,26,06,2024,2024-01-30T15:41:33.000,1149731,1899625,41.880486258,-87.725665179,"{'latitude': '41.880486258', 'longitude': '-87.725665179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,675,23,30,16,100,28
13345244,JH124336,2024-01-22T00:30:00.000,025XX W HARRISON ST,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,False,False,1135,011,28,28,06,2024,2024-01-30T15:41:33.000,1159455,1897278,41.873851386,-87.69002407,"{'latitude': '41.873851386', 'longitude': '-87.69002407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,756,23,28,16,146,28
13344471,JH123428,2024-01-22T00:25:00.000,072XX S ELLIS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,0324,003,5,69,08A,2024,2024-01-30T15:41:33.000,1184143,1857276,41.763539578,-87.600634932,"{'latitude': '41.763539578', 'longitude': '-87.600634932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21546,67,121,33,61,18,217,3
